descriptor_id,descriptor,cleaned_descriptor,merchant_name,merchant_city,merchant_state,merchant_postal_code,merchant_country,merchant_id
840b8722-d777-4943-8f73-0db54580098b,Dick's Sporting,DICK S SPORTING,Dick'S Sporting Goods,Florence,SC,,,b8ebe955-2f56-410a-9608-0b14e70bbe56
840dfa32-596f-411f-a3fa-a3b1be4d4b12,LYFT.COM,LYFT COM,Lyft,,CA,,USA,7507548b-589a-4350-920c-96ec5fa86468
84d89955-6fab-47a7-8b38-ce991f55ce8d,FOOD LION #0864 1740 T,FOOD LION T,Food Lion,,VA,22911,USA,7a8748f9-92f2-4707-bce0-fc112761b4a1
8715d775-8097-4a37-8504-a7a120c72a52,SP KOHAPET,,Shopify,,FL,33445,USA,
87526e47-19c6-4801-89c9-1c33f5198560,0650 AMC EDEN PRAI,,AMC Theatres,,MN,,,
878bb481-8b6b-4764-999a-584a9a8127a9,CVS,CVS,Cvs,St. Louis,MO,63116-,US,e3b217ae-f1ed-4cb6-b056-295abddc7e8d
8796ef8e-4465-4682-8a10-fd7a806b5cbd,Staples Inc,STAPLES INC,Staples,,MA,01702,USA,b823b323-cde1-4edc-8c84-f7d7520aed5e
879b435d-e4d4-4c77-acbc-8f1608f4ae96,DAIRY QUEEN BELMAR,DAIRY QUEEN BELMAR,Dairy Queen,,NJ,,USA,dfd5e19a-546d-4662-aebc-e5b87b0c6a18
88397369-5541-49f4-a30e-72661a622417,IN-N-OUT LV - SAHARA,,IN-N-OUT LV - SAHARA,,NV,89102,USA,
884f466f-b07a-4887-8a5b-b3afe135292d,Ibotta* Total Wine,IBOTTA,Ibotta,,MO,,,70c572a1-545b-4e46-8e50-4bcda16c4e34
8976de92-ef54-493c-bb87-c2dcce1027fc,WHOLEFDS SCP #10563,WHOLEFDS SCP,Whole Foods Market,,DC,,USA,90999ee1-01bb-41dc-886e-34c9b6cd012d
897f53d9-1fcd-4a99-a199-d53a210ae0bd,DELTA AIR   0067120852099,DELTA AIR,Delta Air Lines,,WA,30354,USA,f3677d26-ebe2-4a7a-bcb3-a5ed3f2b551b
8b9f9fbf-97fe-4e24-b34d-35b6149adb98,ASANA.COM,ASANA COM,Asana,,NY,10001,USA,5209adf2-e35e-4989-9593-82dce740e120
8bf00ea9-fcc3-4d4e-b8b2-ed1389cb2923,WMT PLUS Dec 2025,,WMT PLUS Dec 2025,,05,72716,USA,
